"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Czech Republic (CZ)","01.01.2021 00:00 - 01.01.2021 01:00 (CET)","291","3640","279","312","196","8","n/e","n/e","n/e","0","0","151","11","n/e","3468","51","271","0","23","n/e","68"
"Czech Republic (CZ)","01.01.2021 01:00 - 01.01.2021 02:00 (CET)","290","3422","251","314","194","7","n/e","n/e","n/e","0","0","148","11","n/e","3466","52","270","0","23","n/e","65"
"Czech Republic (CZ)","01.01.2021 02:00 - 01.01.2021 03:00 (CET)","285","3293","253","314","194","8","n/e","n/e","n/e","0","503","147","11","n/e","3464","52","271","0","23","n/e","57"
"Czech Republic (CZ)","01.01.2021 03:00 - 01.01.2021 04:00 (CET)","291","3272","248","316","193","7","n/e","n/e","n/e","0","765","146","11","n/e","3467","52","270","0","23","n/e","76"
"Czech Republic (CZ)","01.01.2021 04:00 - 01.01.2021 05:00 (CET)","292","3320","253","316","197","7","n/e","n/e","n/e","0","952","145","11","n/e","3471","52","270","0","24","n/e","70"
"Czech Republic (CZ)","01.01.2021 05:00 - 01.01.2021 06:00 (CET)","292","3359","254","320","197","7","n/e","n/e","n/e","0","946","145","12","n/e","3472","53","268","0","23","n/e","58"
"Czech Republic (CZ)","01.01.2021 06:00 - 01.01.2021 07:00 (CET)","292","3381","253","334","198","7","n/e","n/e","n/e","0","1048","145","17","n/e","3473","71","274","0","23","n/e","46"
"Czech Republic (CZ)","01.01.2021 07:00 - 01.01.2021 08:00 (CET)","293","3480","238","336","203","7","n/e","n/e","n/e","0","993","143","46","n/e","3476","75","276","2","23","n/e","59"
"Czech Republic (CZ)","01.01.2021 08:00 - 01.01.2021 09:00 (CET)","293","3366","203","336","202","7","n/e","n/e","n/e","0","623","142","45","n/e","3479","78","278","29","23","n/e","63"
"Czech Republic (CZ)","01.01.2021 09:00 - 01.01.2021 10:00 (CET)","292","3430","241","336","199","7","n/e","n/e","n/e","0","698","145","27","n/e","3479","76","280","142","23","n/e","61"
"Czech Republic (CZ)","01.01.2021 10:00 - 01.01.2021 11:00 (CET)","292","3368","248","334","202","7","n/e","n/e","n/e","0","35","140","99","n/e","3479","77","282","235","23","n/e","51"
"Czech Republic (CZ)","01.01.2021 11:00 - 01.01.2021 12:00 (CET)","291","3449","252","338","204","7","n/e","n/e","n/e","0","0","139","102","n/e","3479","81","285","292","23","n/e","45"
"Czech Republic (CZ)","01.01.2021 12:00 - 01.01.2021 13:00 (CET)","291","3704","248","336","205","7","n/e","n/e","n/e","0","0","141","93","n/e","3477","79","285","285","23","n/e","34"
"Czech Republic (CZ)","01.01.2021 13:00 - 01.01.2021 14:00 (CET)","291","3688","273","334","205","7","n/e","n/e","n/e","0","0","141","96","n/e","3475","73","282","229","23","n/e","30"
"Czech Republic (CZ)","01.01.2021 14:00 - 01.01.2021 15:00 (CET)","291","3606","252","332","199","7","n/e","n/e","n/e","0","0","143","56","n/e","3474","69","280","133","23","n/e","32"
"Czech Republic (CZ)","01.01.2021 15:00 - 01.01.2021 16:00 (CET)","291","3572","246","332","202","7","n/e","n/e","n/e","0","0","140","120","n/e","3473","75","282","38","23","n/e","27"
"Czech Republic (CZ)","01.01.2021 16:00 - 01.01.2021 17:00 (CET)","291","3598","267","332","204","7","n/e","n/e","n/e","65","0","139","179","n/e","3471","73","280","3","23","n/e","29"
"Czech Republic (CZ)","01.01.2021 17:00 - 01.01.2021 18:00 (CET)","293","3692","278","344","203","7","n/e","n/e","n/e","0","0","139","193","n/e","3473","76","280","0","23","n/e","30"
"Czech Republic (CZ)","01.01.2021 18:00 - 01.01.2021 19:00 (CET)","292","3774","280","350","206","7","n/e","n/e","n/e","73","0","140","204","n/e","3473","83","286","0","23","n/e","33"
