index,od,do,uhli,plyn,ropa,jadro,ostatni,slunce,vitr,voda,biomasa,odpad,ostatni_oze
0,2021-01-01 00:00:00,2021-01-01 01:00:00,4115.0,312.0,8.0,3468.0,51.0,0.0,68.0,151.0,291.0,23.0,271.0
1,2021-01-01 01:00:00,2021-01-01 02:00:00,3867.0,314.0,7.0,3466.0,52.0,0.0,65.0,148.0,290.0,23.0,270.0
2,2021-01-01 02:00:00,2021-01-01 03:00:00,3740.0,314.0,8.0,3464.0,52.0,0.0,57.0,147.0,285.0,23.0,271.0
3,2021-01-01 03:00:00,2021-01-01 04:00:00,3713.0,316.0,7.0,3467.0,52.0,0.0,76.0,146.0,291.0,23.0,270.0
4,2021-01-01 04:00:00,2021-01-01 05:00:00,3770.0,316.0,7.0,3471.0,52.0,0.0,70.0,145.0,292.0,24.0,270.0
5,2021-01-01 05:00:00,2021-01-01 06:00:00,3810.0,320.0,7.0,3472.0,53.0,0.0,58.0,145.0,292.0,23.0,268.0
6,2021-01-01 06:00:00,2021-01-01 07:00:00,3832.0,334.0,7.0,3473.0,71.0,0.0,46.0,145.0,292.0,23.0,274.0
7,2021-01-01 07:00:00,2021-01-01 08:00:00,3921.0,336.0,7.0,3476.0,75.0,2.0,59.0,143.0,293.0,23.0,276.0
8,2021-01-01 08:00:00,2021-01-01 09:00:00,3771.0,336.0,7.0,3479.0,78.0,29.0,63.0,142.0,293.0,23.0,278.0
9,2021-01-01 09:00:00,2021-01-01 10:00:00,3870.0,336.0,7.0,3479.0,76.0,142.0,61.0,145.0,292.0,23.0,280.0
10,2021-01-01 10:00:00,2021-01-01 11:00:00,3818.0,334.0,7.0,3479.0,77.0,235.0,51.0,140.0,292.0,23.0,282.0
11,2021-01-01 11:00:00,2021-01-01 12:00:00,3905.0,338.0,7.0,3479.0,81.0,292.0,45.0,139.0,291.0,23.0,285.0
12,2021-01-01 12:00:00,2021-01-01 13:00:00,4157.0,336.0,7.0,3477.0,79.0,285.0,34.0,141.0,291.0,23.0,285.0
13,2021-01-01 13:00:00,2021-01-01 14:00:00,4166.0,334.0,7.0,3475.0,73.0,229.0,30.0,141.0,291.0,23.0,282.0
14,2021-01-01 14:00:00,2021-01-01 15:00:00,4057.0,332.0,7.0,3474.0,69.0,133.0,32.0,143.0,291.0,23.0,280.0
15,2021-01-01 15:00:00,2021-01-01 16:00:00,4020.0,332.0,7.0,3473.0,75.0,38.0,27.0,140.0,291.0,23.0,282.0
16,2021-01-01 16:00:00,2021-01-01 17:00:00,4069.0,332.0,7.0,3471.0,73.0,3.0,29.0,139.0,291.0,23.0,280.0
17,2021-01-01 17:00:00,2021-01-01 18:00:00,4173.0,344.0,7.0,3473.0,76.0,0.0,30.0,139.0,293.0,23.0,280.0
18,2021-01-01 18:00:00,2021-01-01 19:00:00,4260.0,350.0,7.0,3473.0,83.0,0.0,33.0,140.0,292.0,23.0,286.0
19,2021-01-01 19:00:00,2021-01-01 20:00:00,4253.0,345.0,7.0,3470.0,85.0,0.0,32.0,140.0,292.0,23.0,287.0
20,2021-01-01 20:00:00,2021-01-01 21:00:00,4297.0,338.0,7.0,3472.0,81.0,0.0,36.0,141.0,291.0,23.0,285.0
21,2021-01-01 21:00:00,2021-01-01 22:00:00,4193.0,331.0,7.0,3474.0,70.0,0.0,31.0,148.0,291.0,23.0,281.0
22,2021-01-01 22:00:00,2021-01-01 23:00:00,4055.0,313.0,7.0,3470.0,52.0,0.0,31.0,152.0,289.0,23.0,273.0
23,2021-01-01 23:00:00,2021-01-02 00:00:00,4031.0,310.0,7.0,3471.0,50.0,0.0,27.0,150.0,290.0,24.0,272.0
24,2021-01-02 00:00:00,2021-01-02 01:00:00,3810.0,310.0,7.0,3473.0,50.0,0.0,23.0,151.0,283.0,24.0,269.0
25,2021-01-02 01:00:00,2021-01-02 02:00:00,3491.0,310.0,7.0,3470.0,51.0,0.0,30.0,151.0,279.0,24.0,269.0
26,2021-01-02 02:00:00,2021-01-02 03:00:00,3408.0,310.0,7.0,3466.0,51.0,0.0,29.0,152.0,281.0,23.0,269.0
27,2021-01-02 03:00:00,2021-01-02 04:00:00,3456.0,310.0,7.0,3467.0,51.0,0.0,22.0,152.0,283.0,24.0,268.0
28,2021-01-02 04:00:00,2021-01-02 05:00:00,3427.0,308.0,7.0,3466.0,51.0,0.0,23.0,151.0,283.0,24.0,268.0
29,2021-01-02 05:00:00,2021-01-02 06:00:00,3508.0,314.0,7.0,3466.0,52.0,0.0,25.0,151.0,284.0,24.0,268.0
30,2021-01-02 06:00:00,2021-01-02 07:00:00,3815.0,333.0,7.0,3467.0,71.0,0.0,29.0,150.0,286.0,24.0,277.0
31,2021-01-02 07:00:00,2021-01-02 08:00:00,4205.0,426.0,7.0,3467.0,78.0,2.0,27.0,147.0,294.0,24.0,282.0
32,2021-01-02 08:00:00,2021-01-02 09:00:00,4121.0,738.0,7.0,3466.0,80.0,13.0,26.0,146.0,294.0,24.0,283.0
33,2021-01-02 09:00:00,2021-01-02 10:00:00,4388.0,1057.0,7.0,3467.0,79.0,62.0,25.0,140.0,293.0,24.0,283.0
