uhli,plyn,ropa,jadro,slunce,vitr,voda,biomasa,odpad,ostatni_oze
41,15,0,34,0,1,2,3,0,3
42,15,0,33,0,1,2,3,0,3
41,15,0,34,0,1,2,3,0,3
41,15,0,34,0,1,2,3,0,3
41,15,0,34,0,1,2,3,0,3
42,15,0,33,0,1,2,3,0,3
43,15,0,32,0,2,2,3,0,3
42,15,0,31,3,2,2,3,0,3
40,14,0,30,7,1,2,3,0,3
37,14,0,29,11,1,2,3,0,3
35,13,0,29,14,1,2,3,0,3
34,12,0,29,15,1,2,3,0,3
34,12,0,29,16,1,2,3,0,3
34,10,0,30,16,2,2,3,0,3
35,10,0,31,14,2,2,3,0,3
36,11,0,33,10,2,2,3,0,3
38,13,0,32,6,2,2,3,0,3
39,14,0,32,3,2,2,3,0,3
42,15,0,32,1,1,2,3,0,3
42,15,0,33,0,1,2,3,0,3
42,15,0,33,0,1,2,3,0,3
42,14,0,33,0,1,2,3,0,3
42,14,0,33,0,2,2,3,0,3
42,15,0,33,0,1,2,3,0,3
