uhli,plyn,ropa,jadro,slunce,vitr,voda,biomasa,odpad,ostatni_oze
3406.0,1253.0,0.0,2773.0,0.0,43.0,191.0,278.0,18.0,266.0
3537.0,1259.0,0.0,2772.0,0.0,57.0,190.0,278.0,18.0,267.0
3353.0,1255.0,0.0,2757.0,0.0,71.0,189.0,277.0,17.0,267.0
3327.0,1255.0,0.0,2773.0,0.0,85.0,190.0,277.0,17.0,264.0
3372.0,1268.0,1.0,2786.0,0.0,110.0,188.0,275.0,17.0,262.0
3520.0,1281.0,1.0,2789.0,1.0,126.0,189.0,277.0,17.0,265.0
3807.0,1326.0,1.0,2801.0,17.0,146.0,182.0,279.0,17.0,275.0
3832.0,1337.0,0.0,2823.0,229.0,149.0,177.0,282.0,18.0,278.0
3763.0,1305.0,1.0,2824.0,629.0,133.0,178.0,284.0,18.0,272.0
3549.0,1309.0,0.0,2826.0,1054.0,127.0,179.0,288.0,19.0,268.0
3342.0,1257.0,0.0,2831.0,1355.0,123.0,186.0,291.0,19.0,266.0
3345.0,1166.0,0.0,2829.0,1498.0,131.0,186.0,288.0,18.0,268.0
3280.0,1124.0,0.0,2828.0,1529.0,144.0,187.0,286.0,19.0,268.0
3191.0,895.0,0.0,2828.0,1448.0,153.0,185.0,290.0,18.0,268.0
3185.0,873.0,0.0,2839.0,1224.0,159.0,184.0,289.0,18.0,269.0
3097.0,941.0,0.0,2851.0,893.0,152.0,182.0,290.0,18.0,267.0
3326.0,1149.0,0.0,2850.0,552.0,145.0,183.0,292.0,18.0,272.0
3465.0,1263.0,0.0,2853.0,295.0,134.0,185.0,293.0,18.0,279.0
3657.0,1290.0,0.0,2850.0,114.0,109.0,176.0,292.0,18.0,282.0
3654.0,1298.0,0.0,2856.0,19.0,118.0,173.0,294.0,18.0,282.0
3735.0,1310.0,0.0,2866.0,4.0,116.0,176.0,293.0,18.0,278.0
3630.0,1238.0,0.0,2870.0,0.0,125.0,177.0,292.0,18.0,277.0
3602.0,1242.0,0.0,2882.0,0.0,133.0,178.0,288.0,18.0,268.0
3595.0,1252.0,0.0,2883.0,0.0,128.0,180.0,287.0,18.0,267.0
